A    
a     art.一(个)；每一(个)
abandon     [əˈbændən] vt.丢弃；放弃，抛弃
abase     [ə'beis] v. 降低自己，贬抑，使卑下
abash     [ə'bæʃ] v.使害羞，使尴尬
abate     [ə'beit] v.减轻，减少
abatement     [ə'beitmənt] n.减(免)税，打折扣，冲销
abbreviate     [ə'bri:vieit] v.缩短；缩写
abdicate     ['æbdikeit] v.退位，辞职，放弃
abdomen     [æb'dəumen] n.腹，下腹(胸部到腿部的部分)
abduct     [æb'dʌkt] v. 绑架，拐走
aberrant     [æ'berənt] a.越轨的；异常的
aberration     [,æbə'reiʃən] n.离开正路，脱离常轨；变形
abet     [ə'bet] v.教唆，鼓励，帮助
abeyance     [ə'beiəns] n.中止，搁置
abhor     [əb'hɔ:] v.憎恨，嫌恶
abhorrent     [əb'hɔrənt] a.可恨的，讨厌的
abide     [ə'baid] v.容忍，忍受
ability     [əˈbiliti] n.能力；能耐，本领
abject     ['æbdʒekt] a.极可怜的;卑下的
abjure     [əb'dʒuə] v.发誓放弃
able     [ˈeibl] a.有能力的；出色的
ablution     [ə'blu:ʃən] n.(宗教的)净礼，沐浴
abnegate     ['æbniɡeit] v.否认，放弃
abnegation     [,æbni'ɡeiʃən] n. 放弃; 自我牺牲
abnormal     [æbˈnɔːməl] a.不正常的；变态的
aboard     [ə'bɔ:d] ad.&prep.在船(飞机、车)上;ad.上船(飞机、车)
abolish     [ə'bɔliʃ] v.废止，废除(法律、制度、习俗等)
abolition     [æbə'liʃən] n.废除，革除
abominate     [ə'bɔmineit] v.痛恨；厌恶
aboriginal     [,æbə'ridʒənəl] n. 原始居民，土著
abortion     n.流产,堕胎,失败,夭折,中止,早产
abortive     [ə'bɔ:tiv] a. 无结果的，失败的
abound     [ə'baund] v. 充满; 富于
about     [ˈəbaut] prep.关于；在…周围
above     [əˈbʌv] prep.在…上面；高于
aboveboard     [ə'bʌv,bɔ:d] a./adv.光明正大的(地)
abrade     [ə'breid] v.磨损，磨小
abrasion     [ə'breiʒən] n.表面磨损
abrasive     [ə'breisiv] a.磨损的；生硬粗暴的
abreast     [ə'brest] adv.并列，并排
abridge     [ə'bridʒ] v.删减；缩短
abroad     [əˈbrɔːd] ad.(在)国外；到处
abrogate     ['æbrəuɡeit] v.废止，废除
abrupt     [ə'brʌpt] a突然的，意外的；唐突的
abscission     [æb'siʒən] n.[医]切除，截去；[植]脱离
abscond     [əb'skɔnd] v.潜逃，逃亡
absence     [ˈæbsəns] n.缺席，不在场；缺乏
absent     [ˈæbsənt] a.不在场的；缺乏的
absenteeism     [æbsən'ti:iz(ə)m] n.旷课，旷工
absolute     [ˈæbsəluːt] a.绝对的；纯粹的
absolutely     [ˈæbsəluːtli] ad.完全地；绝对地
absolve     [əb'zɔlv] v.赦免，免除
absorb     [əbˈsɔːb] vt.吸收；使专心
abstain     [əb'stein] v.禁绝，放弃
abstemious     [æb'sti:mjəs] a.有节制的，节俭的(eating & drinking)
abstention     [æb'stenʃən] n.节制
abstentious     [əb'stenʃəs] a.节制的
abstinent     ['æbstinənt] a. 饮食有度的，有节制的，禁欲的
abstract     [ˈæbstrækt] a.抽象的 n.摘要
abstruse     [æb'stru:s] a.难懂的，深奥的
absurd     [əb'sə:d] a.荒谬的，可笑的
abundance     [ə'bʌndəns] n.充裕，多量
abundant     [əˈbʌndənt] a.丰富的；大量的
abuse     [əˈbjuːz] vt.滥用；虐待 n.滥用
abusive     [ə'bju:siv] a.漫骂的；毁谤的；虐待的
abut     [ə'bʌt] v.接界，毗连
abysmal     [ə'bizməl] a.极深的；糟透的
academic     [ˌækəˈdemik] a.学院的；学术的
academician     [ə,kædə'miʃən] n.院士；学会会员
academy     [əˈkædəmi] n.私立中学；专科院校
acarpous     [ei'kɑ:pəs] a. 不结果实的
accede     [æk'si:d] v.同意
accelerate     [ækˈseləreit] vt.(使)加快；促进
acceleration     [ækˌseləˈrei∫ən] n.加速(度)
accent     [ˈæksənt] n.口音，腔调；重音
accentuate     [æk'sentjueit] v.重读；强调
accept     [əkˈsept] vt.vi.接受；同意
acceptable     [əkˈseptəbl] a.可接受/合意的
acceptance     [əkˈseptəns] n.接受，验收；承认
access     [ˈækses] n.接近；通道，入口
accessible     [ək'sesəbl] a.易达到的；易受影响的
accessory     [ækˈsesəri] n.同谋，从犯；附件
accident     [ˈæksidənt] n.意外的；事故
accidental     [ˌæksiˈdentl] a.偶然的；非本质的
acclaim     [ə'kleim] v.欢呼，称赞
acclimate     [ə'klaimit] v.使服水土; 使适应
accolade     ['ækəleid] n.推崇；赞扬
accommodate     [əˈkɔmədeit] vt.容纳;供应,供给
accommodating     [ə'kɔmədeitiŋ] a.乐于助人的
accommodation     [əˌkɔməˈdei∫ən] n.招待设备；预定铺位
accompany     [əˈkʌmpəni] vt.陪伴，陪同；伴随
accomplice     [ə'kɔmplis] n.同谋者，帮凶
accomplish     [əˈkɔmpli∫] vt.达到(目的)；完成
accomplished     [ə'kɔmpliʃt] a.完成了的；有技巧的，有造诣的
accord     [əˈkɔːd] vt.使一致；给予
accordance     [əˈkɔːdəns] n.一致；和谐；授予
according     to [ə'kɔ:diŋ tu] prep.据/照…(所说、所写);按…，视…
accordingly     [əˈkɔːdiŋli] ad.因此，所以；照着
accost     [ə'kɔst] v.搭话
account     [əˈkaunt] n.记述；解释；帐目
accountability     [ə,kautə'biliti] n.负有责任
accountant     [ə'kauntənt] n.会计人员，会计师
accrete     [æ'kri:t] v.逐渐增长；添加生长；连生
accretion     [æ'kri:ʃən] n.自然的增加；增加物
accrue     [ə'kru:] v.(利息等)增大；增多
accumulate     [əˈkjuːmjuleit] vt.积累 vi.堆积
accuracy     [ˈækjurəsi] n.准确(性)；准确度
accurate     [ˈækjurit] a.准确的，正确无误的
accuse     [əˈkjuːz] vt.指责；归咎于
accustom     [əˈkʌstəm] vt.使习惯
accustomed     [əˈkʌstəmd] a.惯常的；习惯的
acerbic     [ə'sə:bik] a.苦涩的；刻薄的
acerbity     [ə'sə:biti] n. 涩，酸，刻薄
ache     [eik] vi.痛；想念 n.疼痛
achieve     [əˈt∫iːv] vt.完成，实现；达到
achievement     [əˈt∫iːvmənt] n.完成；成就/绩
achromatic     [,ækrəu'mætik] a. 非彩色的，无色的
acid     [ˈæsid] n.酸；酸的，酸性的
acknowledge     [ək'nɔlidʒ] v.承认；致谢
acme     ['ækmi] n.顶点，极点
acolyte     ['ækəlait] n.(教士的)助手，侍僧
acorn     ['eikɔ:n] n.橡子，橡果
acoustic     [ə'ku:stik] a.听觉的，有关声音的
acquaint     [ə'kweint] v.使„熟知；通知
acquaintance     [əˈkweintəns] n.认识;了解;熟人
acquainted     [ə'kweintid] a.对某事物熟悉的；对某人认识的
acquiesce     [,ækwi'es] v.勉强同意，默许
acquire     [əˈkwaiə] vt.取得；获得；学到
acquired     [ə'kwaiəd] a.后天习得的
acquisition     [,ækwi'ziʃən] n.取得，学到，养成(习惯);获得的东西
acquisitive     [ə'kwizitiv] a.渴望得到的，贪婪的
acquit     [ə'kwit] v.宣告无罪；脱卸义务和责任；还清(债务)
acquittal     [ə'kwit(ə)l] n.宣告无罪，开释
